SYMBOL,NAME,CLOSE,VOLUME,UPDATE_DATE,UPDATE_TIME
JYOTICNC,JYOTICNC,800.95,300256,2026-01-25,10:17:31
TATACHEM,TATACHEM,713.5,274401,2026-01-25,10:17:31
CASTROLIND,CASTROLIND,183.68,1082808,2026-01-25,10:17:31
URBANCO,URBANCO,124.85,6166599,2026-01-25,10:17:31
ANANTRAJ,ANANTRAJ,501.4,2901719,2026-01-25,10:17:31
CHALET,CHALET,820.05,51531,2026-01-25,10:17:31
RBLBANK,RBLBANK,288.6,4898254,2026-01-25,10:17:31
KFINTECH,KFINTECH,1018.7,667451,2026-01-25,10:17:31
NETWEB,NETWEB,3100.1,644309,2026-01-25,10:17:31
CHAMBLFERT,CHAMBLFERT,435.55,2229996,2026-01-25,10:17:31
DCMSHRIRAM,DCMSHRIRAM,1101.4,262084,2026-01-25,10:17:31
CRAFTSMAN,CRAFTSMAN,7198.5,20339,2026-01-25,10:17:31
ATUL,ATUL,5826.5,32441,2026-01-25,10:17:31
GRINDWELL,GRINDWELL,1544.9,14483,2026-01-25,10:17:31
BHARATCOAL,BHARATCOAL,36.55,81632463,2026-01-25,10:17:31
NEULANDLAB,NEULANDLAB,13251.0,26161,2026-01-25,10:17:31
PFOCUS,PFOCUS,217.52,3905062,2026-01-25,10:17:31
CAMS,CAMS,679.4,2007665,2026-01-25,10:17:31
KEC,KEC,634.95,295325,2026-01-25,10:17:31
SAILIFE,SAILIFE,795.0,308697,2026-01-25,10:17:31
VENTIVE,VENTIVE,723.45,16764,2026-01-25,10:17:31
GSPL,GSPL,298.2,705475,2026-01-25,10:17:31
GMDCLTD,GMDCLTD,518.8,1815399,2026-01-25,10:17:31
CENTURYPLY,CENTURYPLY,739.45,26382,2026-01-25,10:17:31
ONESOURCE,ONESOURCE,1432.4,727984,2026-01-25,10:17:31
CPPLUS,CPPLUS,1395.0,84820,2026-01-25,10:17:31
SARDAEN,SARDAEN,464.25,255745,2026-01-25,10:17:31
BIKAJI,BIKAJI,650.9,150561,2026-01-25,10:17:31
GPIL,GPIL,241.85,859009,2026-01-25,10:17:31
POLYMED,POLYMED,1590.0,240278,2026-01-25,10:17:31
CGCL,CGCL,166.96,640822,2026-01-25,10:17:31
ZENSARTECH,ZENSARTECH,704.75,565176,2026-01-25,10:17:31
