SYMBOL,NAME,CLOSE,CHANGE%,VOLUME,FETCH_DATE
SWSOLAR,SWSOLAR,184.94,-2.984839741908408,2738137,2026-01-25 09:59
FCSSOFT,FCSSOFT,1.55,-4.320987654320991,2691155,2026-01-25 09:59
GANGAFORGE,GANGAFORGE,3.38,8.681672025723474,2690499,2026-01-25 09:59
SONACOMS,SONACOMS,456.1,-2.771264122788318,2686728,2026-01-25 09:59
SADHNANIQ,SADHNANIQ,5.73,-7.729468599033809,2678651,2026-01-25 09:59
DEVYANI,DEVYANI,114.59,-4.786040714582461,2582161,2026-01-25 09:59
VIKASECO,VIKASECO,1.48,-1.3333333333333344,2547509,2026-01-25 09:59
DCW,DCW,46.13,-7.795322806316207,2534040,2026-01-25 09:59
RTNINDIA,RTNINDIA,32.94,-5.588993981083413,2533098,2026-01-25 09:59
TARIL,TARIL,232.5,-3.905765654060752,2520464,2026-01-25 09:59
POONAWALLA,POONAWALLA,414.4,-7.438016528925623,2494967,2026-01-25 09:59
WAAREEENER,WAAREEENER,2599.3,-1.6050270659045174,2473302,2026-01-25 09:59
ASIANTILES,ASIANTILES,69.15,-5.3647187628301465,2468429,2026-01-25 09:59
GODREJPROP,GODREJPROP,1541.2,-4.887682053813876,2461081,2026-01-25 09:59
WEBELSOLAR,WEBELSOLAR,74.78,-3.8941010152936655,2441148,2026-01-25 09:59
VAKRANGEE,VAKRANGEE,6.63,-6.090651558073651,2435521,2026-01-25 09:59
RICOAUTO,RICOAUTO,115.65,-5.922069470430326,2431661,2026-01-25 09:59
JSWSTEEL,JSWSTEEL,1170.0,-1.2158054711246278,2406992,2026-01-25 09:59
NTPCGREEN,NTPCGREEN,90.3,-0.9542612701546611,2394675,2026-01-25 09:59
DABUR,DABUR,519.0,-1.2087179975254636,2352107,2026-01-25 09:59
SHAH,SHAH,4.9,-0.4065040650406418,2348746,2026-01-25 09:59
PARKHOSPS,PARKHOSPS,156.14,-0.9326819364253709,2342575,2026-01-25 09:59
SUBEXLTD,SUBEXLTD,9.23,-4.550155118924504,2341576,2026-01-25 09:59
FORTIS,FORTIS,844.0,0.30304830946579764,2332499,2026-01-25 09:59
EMBDL,EMBDL,61.41,-2.4153821706658243,2317072,2026-01-25 09:59
MAXHEALTH,MAXHEALTH,991.4,-0.740889066880254,2300849,2026-01-25 09:59
RATEGAIN,RATEGAIN,615.0,-4.85767326732673,2271781,2026-01-25 09:59
STYLEBAAZA,STYLEBAAZA,334.6,2.0588683849321336,2269145,2026-01-25 09:59
GREENPOWER,GREENPOWER,9.91,-1.2948207171314643,2256652,2026-01-25 09:59
M&MFIN,M&MFIN,360.65,0.05548619780829203,2249442,2026-01-25 09:59
CHAMBLFERT,CHAMBLFERT,435.55,2.086018985116614,2229996,2026-01-25 09:59
RENUKA,RENUKA,23.05,-3.029028186790067,2227440,2026-01-25 09:59
DELHIVERY,DELHIVERY,387.1,-0.705399512633064,2222806,2026-01-25 09:59
ABLBL,ABLBL,103.52,-2.798122065727703,2192555,2026-01-25 09:59
APLAPOLLO,APLAPOLLO,2000.1,1.2196356275303597,2186960,2026-01-25 09:59
ATGL,ATGL,517.45,-5.5748175182481665,2182806,2026-01-25 09:59
APOLLO,APOLLO,222.4,-4.261730520878177,2165570,2026-01-25 09:59
BSE,BSE,2685.4,-0.8565310492505286,2160443,2026-01-25 09:59
DREAMFOLKS,DREAMFOLKS,96.57,3.5270154373927873,2134844,2026-01-25 09:59
TCS,TCS,3162.5,0.38407821229049993,2068857,2026-01-25 09:59
CONCOR,CONCOR,479.75,-2.9533731162132137,2067105,2026-01-25 09:59
REDINGTON,REDINGTON,250.7,-3.3538936006168036,2060276,2026-01-25 09:59
VINCOFE,VINCOFE,147.59,-2.8181997761243176,2056444,2026-01-25 09:59
FCONSUMER,FCONSUMER,0.38,-5.000000000000004,2008709,2026-01-25 09:59
CAMS,CAMS,679.4,-4.005651713175559,2007665,2026-01-25 09:59
ESSENTIA,ESSENTIA,1.27,-3.0534351145038197,1969918,2026-01-25 09:59
